10/18/2021 11:54:59,I have adhered to personal coding standards before this course.,I have never used linting tools or checkers before this course.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,"The Linter does not always provide accurate line numbers which can be difficult to locate errors. For example, if a footer function is incorrect, it does not give the line number of the footer comment but the line number for the line after it.","Requiring variables to be declared as close to use as possible makes it difficult to keep track of variables. If variables are able to be declared at the top of a function, it is easier to find the variables when their declaration needs to be changed.",I am in favor of having a code standard because it provides clear guidelines of how I can make my code as neat and readable as possible.,
10/18/2021 11:57:24,I have adhered to formally defined coding standards before this course.,I have never used linting tools or checkers before this course.,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,The linter is good. Wish it could check variable names to see if they fit the coding standard but I know this is extremely difficult and maybe impossible.,,,
10/18/2021 11:58:35,I have adhered to personal coding standards before this course.,I have never used linting tools or checkers before this course.,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Spacing after conditionals statements,The description of the error isn't clear to where it is understand unless contacting someone,I am in favor because practicing coding standard improve the understanding of the code.,"None, my google email isn't specifying who I am but I am Daniel H. Tran, PUID: 32299585"
10/18/2021 11:59:39,I have adhered to formally defined coding standards before this course.,I have often used linting tools or checkers before this course.,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,"I would like a linter that can detect, if possible, most coding standards mistakes","I think ""descriptive and meaningful names"" sometimes can be up to interpretation too much for my liking ","I'm in favor of coding standards, since it very much improves code readability",
10/18/2021 12:05:33,I have adhered to formally defined coding standards before this course.,"I have used linting tools or checkers before this course, but not consistently.",Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Just finding bugs and coding standards it does not catch.,I strongly believe the comments should be allowed after all closing brackets to help organize nested loops and multiple if statements or any other situation where it could be helpful. ,Yes. Standardization among everyone is helpful for grading efficiency and cooperation on projects.,
10/18/2021 12:05:49,I have adhered to formally defined coding standards before this course.,I have never used linting tools or checkers before this course.,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,"The linter is effective at doing what its intended to do, adding functonality for the whole code standard would be nice.",Starting if and else statements on a seperate line doesn't improve legibility it annoys me. ,"Yes, because the code standard does have a purpose in helping people organize their thoughts.",
10/18/2021 12:08:11,I have adhered to personal coding standards before this course.,I have never used linting tools or checkers before this course.,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,include variable name check, variable name check,I don't mind. I think having a code standard is helpful but not that important if I'm the only person who will write the code.,none
10/18/2021 12:10:40,I have adhered to personal coding standards before this course.,I have never used linting tools or checkers before this course.,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly disagree,"Linter doesn't check for some errors that impact code standard grade like scope, use of descriptive names, etc.",,I am. It improves readability and efficiency of code.,None
10/18/2021 12:11:09,I have adhered to formally defined coding standards before this course.,I have often used linting tools or checkers before this course.,Neutral,Strongly Agree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,support more checking,"personal story, I pass the linter with no error and get a 6/20 for my coding standard...","a little will be helpful, but very strict requirement is extremely annoying.",
10/18/2021 12:11:26,I have adhered to formally defined coding standards before this course.,I have never used linting tools or checkers before this course.,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Strongly agree,"Not any that I can think of that are feasible (I don't imagine things like ""reasonable variable names"" is an easy thing to check with a linter)","Some standards are a bit annoying both to me personally and in general.
For example, I'm used to putting else-if/else statements right after the closing bracket to the for statement as it uses less space and looks better to me stylistically.

Also, while I understand requiring variable names to be meaningful/related to what they're being used for, the criteria seems to be unnecessarily strict.
For example, I got points docked for using a variable named ""counter"" even though the only thing I used it for was to count the number of items that were added (pretty self-explanatory). Even if it was because I made it a float, that doesn't seem like it would be grounds to deduct points as looking through the function (which isn't that long anyways, only like 20 lines), it should be blatantly obvious as to what the variable does.","Yes, if it's more lenient. I understand wanting code to be readable for grading purposes and helping us practice good coding standards (indentation, spacing, commenting, etc.), but some restrictions are a bit too strict in my opinion (see ex. about ""counter"" variable)",
10/18/2021 12:12:21,I have adhered to formally defined coding standards before this course.,I have often used linting tools or checkers before this course.,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Agree,The new linter has problems recognizing indentation.,More examples showing parts of the code standard would be helpful. The code standard is ambiguous at times.,I am in favor.,
10/18/2021 12:13:24,I have adhered to formally defined coding standards before this course.,"I have used linting tools or checkers before this course, but not consistently.",Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree,Strongly agree,I think the linter should check for more parts of the code standard,The code standard can be unnecessarily stringent at times and makes the code harder to read frequently.,"Yes, I think it is important to get used to writing code according to rules because that is how programming is done everywhere.",
10/18/2021 12:13:44,I have adhered to formally defined coding standards before this course.,I have often used linting tools or checkers before this course.,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,The linter do not work on some particular case and can not cover variable names ,"I think some rules in Code Standard are hard to understand, and not very helpful in helping us code","Yes, it help my code be more readable",No
10/18/2021 12:14:20,I have adhered to personal coding standards before this course.,I have never used linting tools or checkers before this course.,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,hope can find all the grammar case.,No,No. It was kind of annoying,no
